frecuencia;potencia
3011;-16
3014;-106
3015;-3
3016;-2
3020;-32
3023;-25
3024;-54
3026;-85
3027;-112
3028;-82
3030;-70
3034;-14
3036;-15
3038;-22
3039;-55
3040;-65
3041;-57
3042;-116
3047;-4
3049;-98
3050;-50
3052;-82
3057;-73
3060;-1
3061;-38
3062;-41
3063;-119
3065;-85
3066;-76
3067;-9
3068;-49
3069;-91
3070;-67
3071;-39
3072;-5
3073;-12
3074;-112
3075;-24
3077;-18
3078;-40
3079;-62
3080;-6
3083;-54
3085;-1
3087;-46
3094;-24
3096;-22
3099;-5
3101;-58
3102;-13
3103;-72
3104;-95
3107;-64
3110;-120
3116;-27
3117;-84
3118;-95
3119;-71
3122;-88
3124;-8
3125;-8
3126;-3
3127;-3
3129;-71
3132;-113
3136;-100
3137;-86
3142;-103
3143;-21
3149;-94
3150;-24
3151;-11
3152;-66
3154;-36
3156;-43
3157;-40
3158;-53
3162;-8
3166;-64
3168;-39
3169;-41
3170;-83
3172;-120
3177;-88
3182;-35
3183;-102
3188;-44
3192;-96
3197;-28
3204;-72
3205;-114
3206;-37
3207;-2
3208;-77
3212;-47
3218;-27
3219;-29
3220;-27
3221;-91
3222;-12
3224;-97
3225;-78
3228;-39
3230;-85
3233;-29
3234;-9
3238;-77
3239;-51
3240;-76
3243;-84
3244;-43
3245;-32
3246;-25
3247;-100
3248;
3249;-118
3250;-13
3256;-70
3257;-68
3258;-39
3259;-112
3261;-13
3271;-96
3272;-63
3273;-117
3274;-28
3276;-10
3278;-89
3280;-66
3282;-57
3283;-110
3285;-38
3286;-45
3288;-14
3293;-84
3295;-35
3296;-23
3301;-70
3303;-95
3307;-31
3308;-39
3309;-85
3311;-45
3316;-66
3319;-70
3320;-31
3324;-32
3329;-38
3333;-87
3336;-58
3338;-70
3339;-47
3340;-115
3341;-71
3343;-86
3345;
3348;-68
3349;-112
3352;-102
3356;-11
3357;-9
3361;-76
3365;-11
3369;-37
3370;-47
3377;-110
3379;-31
3380;-105
3384;-19
3386;-36
3389;-42
3394;-114
3395;-49
3396;-31
3399;-77
3400;-21
3402;-67
3403;-43
3406;-12
3408;-22
3409;-53
3410;-99
3414;-25
3416;-36
3418;-85
3419;-85
3423;-37
3427;-96
3429;-57
3430;-44
3434;-45
3436;-75
3437;-34
3438;-7
3440;-64
3441;-44
3442;-66
3446;-63
3447;-78
3448;-21
3450;-55
3452;-60
3454;-3
3459;-8
3465;-68
3467;-115
3471;-79
3472;-33
3480;-89
3481;-116
3482;-51
3483;-101
3484;-24
3487;-46
3489;-19
3492;-21
3493;-19
3494;-32
3496;-50
3498;-2
3505;-25
3509;-14
3510;-41
3511;-63
3512;-61
3513;-90
3514;-8
3515;-75
3516;-88
3517;-43
3518;-62
3519;-10
3521;-93
3522;-75
3523;
3528;-10
3529;-46
3530;-11
3531;-108
3532;-26
3533;-77
3534;-48
3535;-14
3537;-9
3538;-47
3539;-75
3541;-25
3544;-101
3545;-115
3547;-28
3549;-99
3552;-66
3553;-120
3554;-57
3559;-6
3560;-23
3562;-78
3565;-75
3566;-11
3567;-40
3569;-107
3570;-74
3573;-62
3575;-16
3579;-48
3580;-26
3581;-37
3582;-93
3584;-2
3589;-77
3590;-78
3591;-118
3592;-80
3595;-62
3601;-115
3603;-83
3606;-36
3607;-82
3608;-68
3609;-100
3610;-43
3611;-16
3612;-117
3615;-7
3616;-70
3618;-22
3620;-110
3627;-69
3628;-119
3629;-32
3630;-65
3635;-80
3638;-75
3640;-31
3645;-13
3646;-17
3647;-117
3649;-104
3650;-21
3651;-22
3653;-77
3654;-68
3655;-100
3656;-68
3657;-16
3658;-69
3661;-52
3662;-78
3663;
3664;-17
3668;-93
3669;-101
3670;-54
3672;-57
3675;-32
3676;-47
3677;-49
3678;-65
3679;-116
3681;-50
3682;-86
3684;-109
3687;-96
3689;-16
3690;-104
3692;-73
3693;-106
3695;-83
3696;-100
3699;-60
3700;-25
3701;-81
3704;-79
3708;-15
3709;-20
3710;-56
3711;-24
3714;-76
3718;-65
3719;-19
3720;-70
3723;-7
3724;-62
3725;-54
3727;-11
3728;-52
3731;-73
3736;-56
3740;-115
3743;-29
3746;-37
3748;-47
3750;-79
3751;-72
3753;-74
3754;-55
3760;-105
3765;-49
3766;-14
3767;-7
3769;-11
3770;-25
3771;-104
3772;-82
3776;-69
3781;-59
3782;-107
3784;-107
3787;-115
3791;-2
3792;-76
3794;-92
3795;-107
3798;-1
3802;-26
3803;-103
3806;-39
3810;-73
3814;-105
3816;-102
3817;-70
3819;-25
3820;-8
3821;-101
3824;-63
3825;-13
3830;-22
3831;-73
3832;-10
3833;-92
3834;-49
3836;-72
3839;-97
3845;-99
3846;-115
3848;-101
3850;-81
3851;-5
3853;-50
3855;-99
3857;-61
3860;-15
3861;-102
3863;-20
3867;-98
3868;-25
3869;-1
3872;-5
3874;-48
3878;-47
3881;-80
3882;-102
3883;-23
3888;-45
3889;-114
3890;-120
3892;-84
3893;-115
3894;-83
3895;-84
3897;-64
3900;-2
3901;-98
3904;-94
3905;-100
3906;-9
3907;-42
3909;-67
3911;-100
3912;-19
3914;-82
3917;-9
3921;-120
3923;-81
3926;-38
3927;-57
3928;-30
3931;-18
3933;-28
3935;-29
3938;-50
3942;-5
3943;-88
3944;-65
3948;-87
3949;-3
3950;-13
3952;-86
3955;-81
3956;-89
3958;-101
3959;-28
3960;-13
3965;-73
3966;-112
3967;-46
3969;-85
3971;-58
3974;-12
3976;-28
3978;-31
3979;-7
3982;-3
3984;-116
3985;-110
3988;-73
3989;-81
3991;-115
3992;-75
3993;-8
3997;-79
3999;-4
4000;-107
4001;-19
4002;-85
4011;-18
4016;-15
4018;-33
4019;-19
4021;-22
4028;-69
4033;-90
4038;-114
4040;-21
4043;-111
4045;-90
4046;-20
4047;-59
4048;-26
4049;-21
4053;-85
4054;-119
4056;-18
4057;-117
4059;-101
4062;-28
4066;-68
4067;-22
4068;-20
4069;-77
4071;-41
4073;-21
4075;-74
4077;-2
4078;-97
4080;-37
4083;-40
4087;-85
4089;-2
4091;-31
4092;-32
4094;-22
4095;-48
4099;-62
4103;-116
4105;-19
4106;-84
4108;-65
4109;-33
4113;-71
4114;-92
4118;-9
4120;-99
4121;-40
4122;-72
4124;-35
4126;-64
4128;-55
4129;-37
4133;-42
4136;-29
4142;-8
4143;-18
4145;-119
4146;-90
4149;-90
4150;-82
4154;-3
4156;-103
4159;-76
4160;-39
4161;-70
4165;-2
4167;-79
4172;-76
4175;-115
4177;-97
4179;-83
4180;-94
4181;-5
4183;-80
4192;-46
4193;-24
4194;-87
4195;-42
4196;-98
4198;-80
4200;-115
4202;-39
4204;-16
4207;-119
4208;-93
4210;-48
4215;-35
4216;-51
4217;-22
4219;-96
4221;-71
4222;-79
4225;-30
4226;-119
4227;-120
4228;-51
4230;-111
4231;-97
4233;-92
4238;-20
4241;-51
4242;-4
4244;-9
4245;-118
4247;-69
4248;-40
4251;-15
4254;-107
4255;-114
4260;-91
4261;-48
4262;-44
4265;-72
4266;-76
4268;-49
4269;-49
4270;-31
4271;-18
4276;-45
4277;-38
4280;-89
4281;-11
4283;-4
4284;-117
4285;-26
4286;-55
4287;-51
4289;-66
4291;-30
4295;-22
4297;-106
4298;-12
4300;-79
4302;-11
4303;-50
4305;-73
4306;-110
4307;-43
4309;-108
4311;-43
4314;-38
4315;-45
4316;-89
4317;-116
4319;-68
4320;-68
4321;-32
4323;-102
4324;-61
4326;-70
4327;-43
4328;-43
4331;-15
4334;-29
4337;-44
4341;-105
4342;-20
4347;-114
4352;-101
4355;-43
4358;-58
4359;-18
4364;-88
4371;-18
4378;-63
4379;-47
4380;-26
4382;-1
4384;-74
4385;-100
4387;-60
4388;-104
4389;-10
4395;-120
4398;-8
4399;-7
4400;-53
4401;-24
4405;-57
4409;-8
4413;-90
4414;-104
4416;-85
4417;-12
4420;-32
4426;-95
4428;-32
4429;-120
4432;-83
4435;-46
4436;-52
4437;-74
4438;-19
4439;-91
4440;-102
4443;-120
4445;-62
4448;-35
4451;-60
4452;-99
4453;-79
4454;-48
4455;-82
4458;-100
4459;-110
4460;-89
4463;-116
4465;-83
4466;-17
4467;-88
4468;-47
4471;-89
4472;-101
4474;-1
4475;-87
4476;-7
4478;-88
4479;-80
4480;-50
4483;-118
4488;-14
4492;-29
4493;-94
4494;-108
4495;-64
4496;-34
4498;-39
4499;-67
4504;-69
4506;-71
4507;-72
